reviewerID,asin,reviewerName,helpful/0,helpful/1,reviewText,overall,summary,unixReviewTime,reviewTime
A36WZWBB8084BK,0000031887,J,1,1,"Perfect for my 3 year old daughter! Bought it for her bday party, but it came a day later, but not their fault! She likes to wear it with tshirts and crocs and wears it over spandex shorts! It's definitely puffy enough!",5,Perfect for my 3 year old daughter!,1354320000,"12 1, 2012"
AX1QE6IR7CHXM,0000031887,JJ,0,0,"Wonder my niece wears it every single day, yellow is her favorite color right now an this cute little tutu made he da. It is well built and we hope she gets lots of wear out of it.",5,Wonderful and great shipping.,1388620800,"01 2, 2014"
A2UJ1VMAKUJAI,0000031887,J. Lawson,0,0,My daughter wore this every other day for maybe half an hour at most.  The waistband has completely separated from the elastic after two weeks of this light use.,1,This was great until it fell apart two weeks later,1389398400,"01 11, 2014"
A3Z4290BT9KUD,0000031887,J Madden,0,0,"It gets stars because it's gorgeous (very full, a nice rich purple) and is soft.  But maybe a play tutu ought to be made out of slightly more substantial material and sewn with stronger thread.  My daughter was just dancing around (not pulling at it) and it got a big hole in it at the top seam.  I'll fix it, but I bought it precisely so I wouldn't have to sew one!",2,Ripped on first wearing,1370044800,"06 1, 2013"
A1SO9UDMRTT611,0000031887,jm,0,0,I used it for my 8 MONTH old. I wanted it a little shorter so I cut about 2 inches off. I think she would be able to wear it for a long time because the waist band is stretchy and it was a little loose.,5,perfect,1381536000,"10 12, 2013"
A12GW7YBQG2ZBR,0000031887,Jodi Lich,0,0,"For the money, I got exactly what I paid for.  It is perfect for my 4 year old daughter.  She loves it.",4,Perfect tutu,1389830400,"01 16, 2014"
A1ERJUW9WFLCEK,0000031887,Jowita Mathew,0,0,"Really cute skirt. Very good quality for a ballet style skirt. I am required to write 4 more words, now just one.",5,Cute skirt.,1362441600,"03 5, 2013"
A3NAIJ23140GQP,0000031887,Jthom,0,0,"We really like my daughters tutu. It's simple, but elegant! I would like more colors!  I would buy another for sure",4,Happy,1356393600,"12 25, 2012"
A37GB9J0EQHKP3,0000031887,Judith H. Hanson,0,0,"My granddaughter loves to wear this.  The waist band is soft and comfortable.  Have not had to wash it yet, so don't know how it will launder.",5,"well made, comfortable to wear",1364169600,"03 25, 2013"
A3NER8PFJ0XER6,0000031887,Judy Clement,0,0,I bought this for my four year old niece with some fairy wings.  She loved it and would not take it off until bedtime.  It is nice fabric and fit her perfectly!,5,Big hit!,1358380800,"01 17, 2013"
A25VIWXB0MUO1N,0000031887,Judy,0,0,I bought this tutu for my granddaughter. She loves wearing tutus and I liked the variety of colors available. The price is reasonable and if it gets damaged I'm happy knowing she had joy hours of enjoyment!,4,Tutu twirling,1381363200,"10 10, 2013"
A2A2WZYLU528RO,0000031887,Julie Gayler,0,0,"My daughter has worn this skirt almost every day since she received it and it's even been through the washer along with the other clothes.  It's amazing quality!  She fits a 4T and it's just above her knee, and has a little bit of growing room, although I'm not so sure as much as others are saying.  But considering how often she wears it, I'm not worried! ;)",5,Excellent quality!,1391040000,"01 30, 2014"
ABJ9MRE79N0A1,0000031887,justjen003,0,0,"I ordered this purple tutu for my daughter's first birthday. It was so fun and cute! It was obviously a little big on her because she was only a year old, but the elastic worked well enough and she will be able to wear it for many more birthdays to come. It came to her feet like a dress but didn't drag or trip her at all. I was able to wash it on a regular cycle (I just put it in a lingerie bag to be safe) and tumbled it on low. Great & fun item!",5,So fun!,1324425600,"12 21, 2011"
A25XPBOOCRNZRL,0000031887,jyager,4,4,I bought this Tutu for my 7 year old daughters Diva party. She loved it and it looked sooo cute on!It is not flimsy at all a great value for the price. I would buy more in different colors!,5,Diva,1309392000,"06 30, 2011"
A19S9I2XSP3CYG,0000031887,KatByrne,0,0,"We originally bought this for my daughter's Halloween costume and it was as bright, cute and fluffy as it looks in the picture. (Once you fluff if out of the package.) It's been a constant favorite of my daughter ever since.  She's worn it for parties and play time.  It's been stuffed in toy-boxes and left on floor and it is still holding up perfectly.  The waistband is stretchy enough to fit a larger child but still stays snug on a 4 yr old (now 5). Great value for the price.",5,Exactly what we needed.,1395187200,"03 19, 2014"
A35KX2A41JYW1M,0000031887,Katelin Collins,1,1,"Tutus were great for holiday dance show and what we needed them for. They were shipped very quickly and came very neat, no need to steam them. Fits younger girls and small waisted teens.",3,Satisfied with product,1387238400,"12 17, 2013"
ALOPQNEP8OMP3,0000031887,Kathleen M. Boyce,0,0,"My granddaughter wears a tutu just about every day.  I like this one because it's shaped just right and is PLAIN.  Some of the ones I see in the stores are hideous, so gaudy.  heh, although she wears them just as proudly. I sent this one to her for her birthday and saw her on skype dancing and twirling.  Mission accomplished.",5,"Well made, really cute.",1355184000,"12 11, 2012"
A341ISIK9PQZMI,0000031887,Kayla,0,0,great tutu for my daughter to play dress up in. she loves this and will stay in it most of the day haha. it is not too tight and not too short great for playing and twirling.,5,love it!,1358985600,"01 24, 2013"
A2EY27ZXAXAIA8,0000031887,Kelly R. Benoit,0,0,"We bought this for our two and a half year old daughter for Valentines Day. Its a lot thinner then I thought, but very cute. No cleaning instructions.",4,Cute,1358985600,"01 24, 2013"
A1N87O8HTSOJ8Y,0000031887,Kikadn,0,1,I bought this for my 7 year old daughter. It's a nice red tutu but it's not what I wanted. It was a little too short for my taste and I'm not sure if I like the way it fits her. I haven't decided if I wanna use it or not. :-(,3,"It's nice, but not what I wanted.",1386547200,"12 9, 2013"
A399R3BDSXRHKH,0000031887,Kim Marie Mackey,0,0,Item was exactly what I was looking for.  Girls loved their Christmas gift !. . .  would buy again from this vendor.,5,Perfect Tutu,1359504000,"01 30, 2013"
A1IJ4Z3204XZ6N,0000031887,KorinaNyree,0,0,Absolutely love this tutu. Fit my little girl perfectly (she's a size 4t) Arrived super quick - just in time for a Halloween party & just in time to replace a &#34;no-show&#34; costume. It ended being a huge hit & I actually ended up liking it even more than my original purchase.,5,Super Cute Tutu,1381276800,"10 9, 2013"
A13VT2F9H98P93,0000031887,"KS Princess ""Elizabeth""",4,6,"I was pleasantly suprised when the package arrived - high quality craftsmanship, enough layers of tuling to really fluff and keep what is underneath covered.  The price was a steal - I will definately purchase this line in the future for gifts.",5,Made for a Princess!,1354665600,"12 5, 2012"
A1GDPIHRKM6SRM,0000031887,lemontea,0,0,"I got this for my daughter who is now 2 years and 4 months old. Her weight is in the lower 25th percentile, but she is tall for her age. This tutu fit her well on the waist, and the length came to her knees, which was perfect. The color is very pretty and the waist band is sewed well. My daughter specifically wanted a blue tutu, and this was the best deal I found in the small size and Prime eligible.",5,Fits a 2.5 year-old,1354665600,"12 5, 2012"
A1Y5A0H9VMC5HI,0000031887,LGF,0,0,"We bought this for our 2 year old and she LOVES the color. The tutu is very full on her and she loves how it flies when she twirls. It has a bright satin band with the elastic underneath, which helps the elastic not annoy her sensitive skin.Our daughter is very small so I was afraid it might be to big, but it stays up and isn't to long on her!",5,perfect - even for small 2 yr old,1357516800,"01 7, 2013"
A2KQPJ4W5J80F,0000031887,lhan,0,0,"This was a good purchase, seems to be well made and also fuller than I had anticipated - good gift to add to alreadypurchased  Christmas gifts for grand daughter :)",4,Lavendar Basi ballet Tutu fits 2-8,1357084800,"01 2, 2013"
AYZT2ZFPA26VQ,0000031887,Ling Zhang,1,1,I bought a white tutu. My 4 year old daughter loves it. It looks very beautiful and graceful on her.,5,Good product,1374969600,"07 28, 2013"
A2KIX9UZRE868S,0000031887,Lini Capellan Genao,0,0,I was very impressed with the tutus. Very good quality. Excellent price! .....and the girls absolutely loved them! They looked fabulous!,5,awwwwww!,1362009600,"02 28, 2013"
A391EXIT5TFP72,0000031887,Lisbeth Starr,0,0,Purchased this tutu for my granddaughter's first birthday.  It fit nicely with room to grow in.  I'm very please with it and will purchase more in varying colors in the future.,5,Wonderful tutu!,1321056000,"11 12, 2011"
A3O4EIX37041EG,0000031887,"Lorena ""LR""",0,0,"Bought this for my 3 1/2 yo daughter for Christmas for dress up. She loves it! Good quality. Very poofy, frilly and girly!",5,Wonderful!,1360627200,"02 12, 2013"
A1Y7TEPEPE2CQM,0000031887,Maj,0,1,"I was impressed when I first opened the package.  Very cute!  However, either it is not well made or my toddler is extra hard on it because it has unraveled in a short amount of time.  I would not buy this again.",2,Cute but it doesn't last...,1371427200,"06 17, 2013"
A20JP65QJIWNZ0,0000031887,Makena,0,0,I just bought this for a halloween costume and it got to my house within 4 days!! I was very happy about that! I took a star down because it is a LITTLE bit see through but not very much. It very good for ages 5-12,4,Very good,1381363200,"10 10, 2013"
A31GF7N0YJ4E55,0000031887,Mallory Shamus,1,2,while i understand i should pay more attention to product description. i was in a hurry online shopping and searched multiple tutus for 2 year old. I saw this picture and assumed it came with all of them. and when i received one i had to go back and read that it was only the lavender. mostly my fault but maybe product pic should only show the one color you are choosing..,3,picture is decieving,1357171200,"01 3, 2013"
A1N0GUR801XSA7,0000031887,MamaBear,0,0,I got this tutu for for halloween for my baby girl and she loved it. It arrived fast and in perfect condition!,5,Cute tutu!,1383350400,"11 2, 2013"
A303S1A2UP7SN,0000031887,MamaKat1000,0,0,Tutu fits a little tight and the quality is not the best. Beautiful color though. I would not purchase again.,2,Fine,1393891200,"03 4, 2014"
ASUNY8VZJONVG,0000031887,MARIA,0,0,"Received the red tutu late, I needed it to accessorize a Halloween costume.  My 6yr.old loved it though, she wore it immediately and wouldn't take it off.  She wore it with a pair of leggings and a leopard tank top.  It is really cute.",4,Red Tutu,1352419200,"11 9, 2012"
A3MW7JNPGIKP5C,0000031887,Marie,0,0,"I got this in pink and white for a slender 2 year old. It is a little on the loose side, but it does stay on. While my little girl is a bit of a tomboy, as she is overshadowed by 5 older brothers, she does enjoy wearing this over her jeggings and running around and playing. Her playdates, two who are closer to 3, are madly in love with the tutus--it's a good thing we only have one of them at a time. I think that it would ideally fit a 3 or 4 year old without any stretch, but could fit kids possibly up to the age of twelve with the amount of stretch it has. The elastic has very nice give and the layers of tulle are very nicely proportioned and soft. After throwing it in the wash, the edges can curl a little with minimal fray--maybe I could have put it on a gentler cycle, but it looks pretty much lithe same. I really like the way the elastic is sewn in. The satin edge is part of the tulle fabric, not sewn on, and the elastic is enclosed between the layers of the satin edge, making it seem pretty secure. I have made my own tutus, but they never looked as nice or were so soft.",5,Great fit and quality,1400630400,"05 21, 2014"
A222TMF8KD00RK,0000031887,Marie Simmons,0,0,good price and just what I wanted. My granddaughters have thoroughly enjoyed them. They play with them nearly every day.,5,These are nice!,1391817600,"02 8, 2014"
A3FM1AYIXCAWOS,0000031887,Martina Hoyd,0,0,Delievered quickly.  Really cute and better quality than I expected considering the reasonable price.  I would recommend this tutu to others.,5,Great tutu great price,1383436800,"11 3, 2013"
A3DIEB054V8KQO,0000031887,Marx in Cali,1,2,"Pefect!! My 4 year old boy loves wearing it. We bought it for a parade where we were all going to be water fairies and he alternates between that and being the best butterfly ever!! Color is gorgeous, cleans up well after food spills and waistband seems very hearty! Can also double as a fun headcovering for adults.",5,Amazing! a Perfect tutu,1348012800,"09 19, 2012"
A34ATJR9KFIXL9,0000031887,Maudy1,1,1,Full and well stitched.  This tutu is a beautiful purple color that looks just like the picture.  It looks just adorable on our little fairy.,5,Great Tutu,1361664000,"02 24, 2013"
A2MFEBXRQU3G70,0000031887,mc,0,0,I bought this for a 4-5 year old for Christmas for dressing up. It was a big hit. She loved it,5,Granddaughter loves it,1356652800,"12 28, 2012"
AQMWKJ2LWX81V,0000031887,M. Davis,0,0,It fits my daughter great and serves it's purpose wonderfully! She wears it all the time! I would recommend this skirt.,4,Red tutu,1389052800,"01 7, 2014"
AJ6B83I4YJHYW,0000031887,M. Davis,0,0,"This was a gift for a two year old and a five year old.  The girls squealed upon opening the box, they grabbed the tutus, put them on, and wore them the rest of the day.  The tutus seem to be well made, and can stand up to handling by little princesses.  I recommend these tutus.",5,Great tutu for little girls!,1372636800,"07 1, 2013"
A3IN7097CM4NWZ,0000031887,megan travers,0,0,I bought this for my baby cousin and she never had a tutu before this was a great first tutu and fit perfect according to the size we got.,5,first tutu,1375056000,"07 29, 2013"
A2NHBXSZ698TI6,0000031887,Melissa Malone,0,0,This was perfect for my son's 4 year old friend for her birthday.  Perfect for dress up or to wear over shorts or pants.  Price point was perfect too!,5,Perfect for a friend,1369526400,"05 26, 2013"
A32Q3ERO9X6UFC,0000031887,Michelle R Wingert,0,0,"Great tutu for the price.  Not as fluffy as I would have thought.  It is a beautiful purple color, though.",4,Cute tutu,1386892800,"12 13, 2013"
A34RWOVM9DHVF7,0000031887,Mikala,0,0,So cute and fluffier than i expected. Wish it came in my size. The waist band is a little weird so i gave it 4 stars. It doesnt lay flat.,4,so cute,1394150400,"03 7, 2014"
A2OGDC4M2M5YG,0000031887,Misty,0,0,Love the tutu fast shipping looks like a well made Tutu and you can't bet the price. My little girl loved it.,4,thank you,1382227200,"10 20, 2013"
A3GRICINC32QPL,0000031887,Moira Kiltie,0,0,Really great price for easy dress up play.  The colors are fun and vibrant.  Easy on and off. What more does one want in a tu-tu?,5,"As advertised, great price",1359417600,"01 29, 2013"
A1PZENATLHGO3C,0000031887,Mom of 1,0,0,"I would buy this again for the price, but I didn't like how the waist wasn't stitched down like a waistband...the top of the tulle is covered well, but I thought it would have a flat waistband.",4,Good price,1360627200,"02 12, 2013"
A1B6RXTRUKDA8,0000031887,Mom of three,0,0,We bought this tutu as part of my daughter's halloween costume.  Love that she can now use it to dress up and to wear to her dance class.  The best feature of this tutu is the layers...not so flimsy that you can see through it.  Like that it keeps my daughter a little more covered up!,5,Great tutu,1358812800,"01 22, 2013"
A26A4KKLAVTMCC,0000031887,Moonlight,0,0,"My 3yr old loved this tutu skirt in pink! Was hoping to order more in different colors.She had hardly used this,the stitching came apart in 2weeks.now it's lying in her closet..Altogether she wore it like 4-5 times for 20 mins or so.wish the stitching was of better quality to hold up while little ones wear it. Can't recommend.",3,Came apart in 2weeks!,1395273600,"03 20, 2014"
A1MXJVYXE2QU6H,0000031887,"Mother Goose ""WI Grandma""",0,0,Perfect for my budding grand daughter ballerina! Beautiful vibrant color.  Fits great and easy to  clean!  I bought several more colors!,5,So cute!,1367020800,"04 27, 2013"
A2NXWW4QCL1EU1,0000031887,Mother Tucker,4,5,"I ordered these tutus for my boyfriends daughter, she loves them! I was scared they would not be very full because when they arrived they were packaged very small. But as soon as I opened the plastic they filled out beautifully. Since most toddler tutus are around $40, I was very pleased I got these under $10. Great for playing dress up!",5,Better than expected!,1296604800,"02 2, 2011"
APMPB8A9M9JYK,0000031887,Mrs. S,0,0,My neice loved it. She is a dress-up kind of girl and loved adding the tutu to her collection. Was upset that it didn't specify only one tutu is sold at a time unless you specify quantity...I thought it came as a set.,4,so cute!,1356825600,"12 30, 2012"
A34V39HVT8KUCH,0000031887,msambo,1,1,"After only wearing the skirt once by my daughter, the stitching at the waist has already come undone.  I would return the product but the shipping would cost more than the skirt.",1,Only wore once,1383523200,"11 4, 2013"
A3US4LXG77WEJE,0000031887,M. Summers,0,0,"This was a costume for an adult at an elementary school.  The kids loved it, it fit great for an adult, and seems very sturdy for future uses.",5,Great tutu!,1357516800,"01 7, 2013"
A2XJ13PIXVJFJH,0000031887,"Myra MLH ""Myra MLH""",0,0,Never GOT this item - but gave a 1 STAR because the replies from the SUPPLIER was GREAT.They tried to send the item more than once.My $ was refunded in a timely manner too.It was a shame I never got it for my daughter - it would of looked great with her OUTFIT for Dr. Seuss WEEK at school.Most original.Maybe next time.,1,Never GOT IT....,1399852800,"05 12, 2014"
A1R8K1QN0X8QBA,0000031887,nab,0,0,Perfect!!Teal tutu for 2nd birthday outfit! Loved it! Thought the color matched perfectly with her &#34;I am 2&#34; t-shirt and her leggings!,5,Teal Tutu,1387238400,"12 17, 2013"
A2CRLM66MR5O9T,0000031887,Natalie Dillard,2,2,"I ordered 26 tutus for a school production.  After 19 days and 4 e-mails (only 1 answered) I finally recieved them.  This company is a joke.  I spoke with a representative from the company before making the purchase and she was going to refund some costs because I ordered a large quantity.  Of course that never happened. After 2 weeks and the tracking of the package never changing, I began to attempt to contact.  After 2 unanswered e-mails, she responded,&#34; I thought these were for a Christmas play?  You still have time.&#34;  What??? That is not the point.  I needed them for  a meeting to discuss the costumes.  She then said the package had been lost- really??? She never shipped them.  When I did receive the package the skirts were stuffed in a paper towel box with out even an invoice, piece of plastic around them or anything. Skirts were fine.  The company is lacking in every way.",3,Worst Customer Service I Have Ever Had Through Amazon,1379635200,"09 20, 2013"
A287XY94U7JDM8,0000031887,Natasha,0,0,Nice and puffy tutu skirt. I would recommend this for girls under 10 yr. old.  It will be too short and small for older girls.,5,Nice skirt,1387843200,"12 24, 2013"
A2N086AD3ATP9S,0000031887,netty1180,0,0,Absolutely darling! Only issue is that it is a different blue than the picture. But that is not a problem.,5,So sweet!,1360540800,"02 11, 2013"
ANIZNAHNP25QH,0000031887,NewbieReviews,0,0,"This is great for use as a dance costume, for play, or even as part of a party outfit. It fits my daughter who wears 3t now and has plenty of room to stretch, so she will probably be able to wear it for a few years.  If worn in public a leotard, thick tights or leggings will be needed.",4,"Cute, fun, and not too expensive",1394409600,"03 10, 2014"
A3E431659J7YL,0000031887,New mom,0,0,Perfect party favor my my daughters tutu cute party! I ordered 4 purple turus for each of her friends to wear ranging in age 1 1/2-6 and they all loved them!,5,Love them!,1377993600,"09 1, 2013"
A25614HBGJ9QB7,0000031887,Neysha,0,0,im 18 with a 32 inch waist it was great.It was a little tight but i didnt mind and the price was great and it was worth to be used,5,great tutu,1378425600,"09 6, 2013"
